cnum,x,y
399,6243,5087
400,6243,5086
401,6242,5086
402,6242,5087
403,6238,5087
404,6238,5088
405,6235,5088
406,6235,5089
407,6234,5089
408,6234,5088
409,6233,5088
410,6233,5092
411,6232,5092
412,6232,5090
413,6231,5090
414,6231,5091
415,6230,5091
416,6230,5092
417,6229,5092
418,6229,5091
419,6227,5091
420,6227,5092
421,6226,5092
422,6226,5093
423,6222,5093
424,6222,5094
425,6223,5094
426,6223,5095
427,6221,5095
428,6221,5096
429,6220,5096
430,6220,5095
431,6219,5095
432,6219,5096
433,6218,5096
434,6218,5097
435,6214,5097
436,6214,5098
437,6213,5098
438,6213,5097
439,6212,5097
440,6212,5098
441,6211,5098
442,6211,5099
443,6210,5099
444,6210,5098
445,6209,5098
446,6209,5099
447,6208,5099
448,6208,5100
449,6205,5100
450,6205,5101
451,6204,5101
452,6204,5100
453,6202,5100
454,6202,5101
455,6201,5101
456,6201,5100
457,6198,5100
458,6198,5101
459,6195,5101
460,6195,5102
461,6193,5102
462,6193,5103
463,6186,5103
464,6186,5104
465,6184,5104
466,6184,5105
467,6181,5105
468,6181,5107
469,6180,5107
470,6180,5106
471,6179,5106
472,6179,5107
473,6177,5107
474,6177,5106
475,6174,5106
476,6174,5105
477,6173,5105
478,6173,5107
479,6174,5107
480,6174,5108
481,6173,5108
482,6173,5107
483,6171,5107
484,6171,5105
485,6170,5105
486,6170,5106
487,6169,5106
488,6169,5107
489,6167,5107
490,6167,5108
491,6166,5108
492,6166,5107
493,6165,5107
494,6165,5109
495,6166,5109
496,6166,5110
497,6165,5110
498,6165,5109
499,6164,5109
500,6164,5108
501,6163,5108
502,6163,5109
503,6162,5109
504,6162,5108
505,6161,5108
506,6161,5110
507,6162,5110
508,6162,5111
509,6160,5111
510,6160,5112
511,6159,5112
512,6159,5111
513,6157,5111
514,6157,5112
515,6158,5112
516,6158,5113
517,6154,5113
518,6154,5114
519,6155,5114
520,6155,5115
521,6154,5115
522,6154,5114
523,6152,5114
524,6152,5116
525,6150,5116
526,6150,5114
527,6149,5114
528,6149,5116
529,6146,5116
530,6146,5118
531,6145,5118
532,6145,5117
533,6142,5117
534,6142,5118
535,6143,5118
536,6143,5119
537,6142,5119
538,6142,5118
539,6141,5118
540,6141,5117
541,6140,5117
542,6140,5119
543,6137,5119
544,6137,5118
545,6136,5118
546,6136,5119
547,6134,5119
548,6134,5120
549,6133,5120
550,6133,5121
551,6128,5121
552,6128,5122
553,6127,5122
554,6127,5121
555,6126,5121
556,6126,5122
557,6125,5122
558,6125,5121
559,6124,5121
560,6124,5122
561,6123,5122
562,6123,5121
563,6122,5121
564,6122,5122
565,6121,5122
566,6121,5123
567,6120,5123
568,6120,5122
569,6121,5122
570,6121,5121
571,6119,5121
572,6119,5122
573,6118,5122
574,6118,5123
575,6119,5123
576,6119,5124
577,6118,5124
578,6118,5125
579,6117,5125
580,6117,5124
581,6116,5124
582,6116,5123
583,6117,5123
584,6117,5122
585,6115,5122
586,6115,5124
587,6113,5124
588,6113,5125
589,6112,5125
590,6112,5124
591,6111,5124
592,6111,5125
593,6110,5125
594,6110,5124
595,6109,5124
596,6109,5125
597,6108,5125
598,6108,5126
599,6107,5126
600,6107,5125
601,6106,5125
602,6106,5126
603,6105,5126
604,6105,5127
605,6104,5127
606,6104,5126
607,6103,5126
608,6103,5127
609,6102,5127
610,6102,5126
611,6103,5126
612,6103,5125
613,6102,5125
614,6102,5124
615,6099,5124
616,6099,5123
617,6097,5123
618,6097,5125
619,6096,5125
620,6096,5126
621,6095,5126
622,6095,5125
623,6096,5125
624,6096,5123
625,6095,5123
626,6095,5124
627,6091,5124
628,6091,5123
629,6090,5123
630,6090,5124
631,6089,5124
632,6089,5123
633,6088,5123
634,6088,5124
635,6083,5124
636,6083,5125
637,6082,5125
638,6082,5124
639,6081,5124
640,6081,5125
641,6078,5125
642,6078,5126
643,6079,5126
644,6079,5128
645,6078,5128
646,6078,5127
647,6077,5127
648,6077,5128
649,6073,5128
650,6073,5127
651,6076,5127
652,6076,5126
653,6074,5126
654,6074,5124
655,6073,5124
656,6073,5125
657,6072,5125
658,6072,5127
659,6071,5127
660,6071,5124
661,6070,5124
662,6070,5126
663,6069,5126
664,6069,5127
665,6070,5127
666,6070,5128
667,6072,5128
668,6072,5129
669,6067,5129
670,6067,5128
671,6065,5128
672,6065,5129
673,6066,5129
674,6066,5130
675,6067,5130
676,6067,5131
677,6064,5131
678,6064,5132
679,6065,5132
680,6065,5133
681,6066,5133
682,6066,5132
683,6068,5132
684,6068,5134
685,6067,5134
686,6067,5135
687,6066,5135
688,6066,5134
689,6065,5134
690,6065,5135
691,6064,5135
692,6064,5136
693,6063,5136
694,6063,5135
695,6062,5135
696,6062,5136
697,6061,5136
698,6061,5137
699,6060,5137
700,6060,5136
701,6059,5136
702,6059,5135
703,6058,5135
704,6058,5136
705,6057,5136
706,6057,5135
707,6058,5135
708,6058,5134
709,6057,5134
710,6057,5133
711,6058,5133
712,6058,5132
713,6057,5132
714,6057,5131
715,6058,5131
716,6058,5130
717,6057,5130
718,6057,5129
719,6055,5129
720,6055,5131
721,6054,5131
722,6054,5132
723,6052,5132
724,6052,5130
725,6051,5130
726,6051,5131
727,6050,5131
728,6050,5134
729,6048,5134
730,6048,5136
731,6049,5136
732,6049,5137
733,6050,5137
734,6050,5138
735,6049,5138
736,6049,5137
737,6048,5137
738,6048,5138
739,6047,5138
740,6047,5137
741,6048,5137
742,6048,5136
743,6047,5136
744,6047,5133
745,6046,5133
746,6046,5132
747,6045,5132
748,6045,5134
749,6043,5134
750,6043,5135
751,6042,5135
752,6042,5136
753,6040,5136
754,6040,5137
755,6037,5137
756,6037,5138
757,6036,5138
758,6036,5137
759,6035,5137
760,6035,5139
761,6034,5139
762,6034,5140
763,6037,5140
764,6037,5139
765,6038,5139
766,6038,5138
767,6039,5138
768,6039,5139
769,6038,5139
770,6038,5140
771,6039,5140
772,6039,5141
773,6040,5141
774,6040,5140
775,6041,5140
776,6041,5141
777,6040,5141
778,6040,5142
779,6039,5142
780,6039,5141
781,6038,5141
782,6038,5142
783,6037,5142
784,6037,5145
785,6038,5145
786,6038,5143
787,6040,5143
788,6040,5144
789,6043,5144
790,6043,5143
791,6042,5143
792,6042,5142
793,6043,5142
794,6043,5143
795,6044,5143
796,6044,5144
797,6045,5144
798,6045,5145
799,6046,5145
800,6046,5146
801,6047,5146
802,6047,5147
803,6048,5147
804,6048,5148
805,6049,5148
806,6049,5149
807,6048,5149
808,6048,5148
809,6047,5148
810,6047,5151
811,6046,5151
812,6046,5148
813,6045,5148
814,6045,5147
815,6043,5147
816,6043,5148
817,6044,5148
818,6044,5151
819,6045,5151
820,6045,5153
821,6044,5153
822,6044,5151
823,6043,5151
824,6043,5152
825,6041,5152
826,6041,5153
827,6040,5153
828,6040,5150
829,6039,5150
830,6039,5148
831,6037,5148
832,6037,5149
833,6038,5149
834,6038,5151
835,6039,5151
836,6039,5152
837,6038,5152
838,6038,5153
839,6036,5153
840,6036,5151
841,6034,5151
842,6034,5152
843,6035,5152
844,6035,5153
845,6032,5153
846,6032,5154
847,6033,5154
848,6033,5155
849,6032,5155
850,6032,5154
851,6031,5154
852,6031,5152
853,6033,5152
854,6033,5151
855,6032,5151
856,6032,5150
857,6031,5150
858,6031,5151
859,6029,5151
860,6029,5152
861,6030,5152
862,6030,5153
863,6029,5153
864,6029,5152
865,6028,5152
866,6028,5153
867,6025,5153
868,6025,5154
869,6026,5154
870,6026,5156
871,6025,5156
872,6025,5154
873,6022,5154
874,6022,5155
875,6023,5155
876,6023,5157
877,6022,5157
878,6022,5156
879,6021,5156
880,6021,5157
881,6020,5157
882,6020,5156
883,6019,5156
884,6019,5155
885,6020,5155
886,6020,5156
887,6021,5156
888,6021,5152
889,6020,5152
890,6020,5154
891,6019,5154
892,6019,5151
893,6018,5151
894,6018,5156
895,6017,5156
896,6017,5157
897,6016,5157
898,6016,5158
899,6015,5158
900,6015,5157
901,6014,5157
902,6014,5158
903,6013,5158
904,6013,5156
905,6012,5156
906,6012,5159
907,6011,5159
908,6011,5158
909,6010,5158
910,6010,5159
911,6009,5159
912,6009,5162
913,6008,5162
914,6008,5160
915,6007,5160
916,6007,5159
917,6006,5159
918,6006,5161
919,6004,5161
920,6004,5162
921,6003,5162
922,6003,5163
923,6002,5163
924,6002,5162
925,6001,5162
926,6001,5163
927,6000,5163
928,6000,5164
929,5999,5164
930,5999,5163
931,5998,5163
932,5998,5164
933,5997,5164
934,5997,5165
935,5996,5165
936,5996,5164
937,5995,5164
938,5995,5166
939,5994,5166
940,5994,5165
941,5992,5165
942,5992,5166
943,5993,5166
944,5993,5167
945,5991,5167
946,5991,5168
947,5990,5168
948,5990,5169
949,5989,5169
950,5989,5168
951,5988,5168
952,5988,5170
953,5985,5170
954,5985,5171
955,5984,5171
956,5984,5170
957,5985,5170
958,5985,5169
959,5983,5169
960,5983,5170
961,5982,5170
962,5982,5172
963,5981,5172
964,5981,5173
965,5980,5173
966,5980,5172
967,5979,5172
968,5979,5174
969,5978,5174
970,5978,5173
971,5977,5173
972,5977,5172
973,5976,5172
974,5976,5174
975,5975,5174
976,5975,5175
977,5973,5175
978,5973,5174
979,5972,5174
980,5972,5175
981,5971,5175
982,5971,5174
983,5970,5174
984,5970,5175
985,5969,5175
986,5969,5177
987,5966,5177
988,5966,5178
989,5964,5178
990,5964,5176
991,5963,5176
992,5963,5177
993,5962,5177
994,5962,5176
995,5960,5176
996,5960,5177
997,5958,5177
998,5958,5178
999,5959,5178
1000,5959,5179
1001,5958,5179
1002,5958,5178
1003,5957,5178
1004,5957,5177
1005,5956,5177
1006,5956,5179
1007,5955,5179
1008,5955,5177
1009,5954,5177
1010,5954,5178
1011,5953,5178
1012,5953,5177
1013,5952,5177
1014,5952,5179
1015,5950,5179
1016,5950,5178
1017,5948,5178
1018,5948,5179
1019,5949,5179
1020,5949,5180
1021,5948,5180
1022,5948,5179
1023,5947,5179
1024,5947,5178
1025,5943,5178
1026,5943,5179
1027,5942,5179
1028,5942,5178
1029,5941,5178
1030,5941,5179
1031,5938,5179
1032,5938,5180
1033,5937,5180
1034,5937,5179
1035,5938,5179
1036,5938,5178
1037,5935,5178
1038,5935,5179
1039,5934,5179
1040,5934,5178
1041,5933,5178
1042,5933,5179
1043,5932,5179
1044,5932,5178
1045,5931,5178
1046,5931,5179
1047,5930,5179
1048,5930,5178
1049,5929,5178
1050,5929,5179
1051,5927,5179
1052,5927,5180
1053,5928,5180
1054,5928,5181
